"Station number","River","Location","Catchment area","Year opened","Year closed","Peak flow data","Daily data","Live data","SPRHOST (%)"
"27007","Ure","Westwick","915","1958","","Yes","Yes","Yes","44"
"27008","Swale","Leckby Topcliffe","1346","1955","1984","Yes","No","No","40"
"27009","Ouse","Skelton","3315","1969","","Yes","Yes","Yes","40"
"27010","Hodge Beck","Bransdale Weir","19","1936","1979","Yes","Yes","No","51"
"27011","Washburn","Lindley Wood Reservoir","87","1953","1976","No","Yes","No","44"
"27012","Hebden Water","High Greenwood","36","1954","1973","No","Yes","No","56"
"27013","Ewden Beck","More Hall Reservoir","26","1954","1980","No","Yes","No","44"
"27014","Rye","Little Habton","679","1958","1971","Yes","Yes","No","32"
"27015","Derwent","Stamford Bridge","1634","1961","1975","Yes","Yes","No","28"
"27016","Little Don","Underbank Reservoir","39","1956","1980","No","Yes","No","45"
"27017","Loxley","Damflask Reservoir","44","1956","1980","No","Yes","No","45"
"27018","Ryburn","Ryburn Reservoir","11","1956","1974","No","Yes","No","52"
"27019","Booth Dean Clough","Booth Wood Mill","16","1956","1974","No","Yes","No","56"
"27020","Scout Dike Stream","Scout Dike Resevoir","15","1956","1980","No","Yes","No","19"
"27021","Don","Doncaster","1256","1959","","Yes","Yes","Yes","30"
"27022","Don","Rotherham Weir","826","1960","","Yes","Yes","No","32"
"27023","Dearne","Barnsley Weir","119","1960","","Yes","Yes","No","25"
"27024","Swale","Richmond","381","1961","1980","Yes","Yes","No","49"
"27025","Rother","Woodhouse Mill","352","1961","","Yes","Yes","No","28"
"27026","Rother","Whittington","165","1963","","Yes","Yes","Yes","28"
"27027","Wharfe","Ilkley","443","1961","1975","Yes","Yes","No","46"
"27028","Aire","Armley","692","1961","","Yes","Yes","Yes","39"
"27029","Calder","Elland","342","1961","","Yes","Yes","Yes","39"
"27030","Dearne","Adwick","311","1963","","Yes","Yes","Yes","25"
"27031","Colne","Colne Bridge","245","1964","","Yes","Yes","No","24"
"27032","Hebden Beck","Hebden","22","1965","","Yes","Yes","No","57"
"27033","Sea Cut","Scarborough","33","1966","","Yes","Yes","No","33"
"27034","Ure","Kilgram Bridge","510","1968","","Yes","Yes","Yes","47"
"27035","Aire","Kildwick Bridge","282","1968","","Yes","Yes","No","42"
"27038","Costa Beck","Gatehouses","8","1970","","No","Yes","Yes","12"
"27040","Doe Lea","Staveley","68","1970","","Yes","Yes","No","33"
"27041","Derwent","Buttercrambe","1586","1973","","Yes","Yes","Yes","28"
"27042","Dove","Kirkby Mills","59","1972","","No","Yes","No","37"
"27043","Wharfe","Addingham","427","1974","","Yes","Yes","Yes","47"
"27044","Blackfoss Beck","Sandhills Bridge","47","1974","","No","Yes","Yes","40"
"27047","Snaizeholme Beck","Low Houses","10","1966","","No","Yes","No","51"
"27048","Derwent","West Ayton","127","1972","","No","Yes","Yes","37"
"27049","Rye","Ness","239","1974","","No","Yes","Yes","30"
"27050","Esk","Sleights","308","1970","1998","Yes","Yes","No","49"
"27051","Crimple","Burn Bridge","8","1972","","Yes","Yes","No","41"
"27052","Whitting","Sheepbridge","50","1976","","Yes","Yes","No","25"
"27053","Nidd","Birstwith","218","1975","","Yes","Yes","No","45"
"27054","Hodge Beck","Cherry Farm","37","1973","","No","Yes","No","48"
"27055","Rye","Broadway Foot","132","1974","","Yes","Yes","No","43"
"27056","Pickering Beck","Ings Bridge","69","1974","","No","Yes","Yes","20"
"27057","Seven","Normanby","122","1974","","No","Yes","Yes","41"
"27058","Riccal","Crook House Farm","58","1974","2007","No","Yes","No","34"
"27059","Laver","Ripon Laver Weir","88","1977","","Yes","Yes","No","40"
"27060","Kyle","Newton On Ouse","168","1979","","No","Yes","Yes","33"
"27061","Colne","Longroyd Bridge","72","1978","","No","Yes","No","32"
"27062","Nidd","Skip Bridge","516","1979","","Yes","Yes","Yes","39"
"27063","Dibb","Grimwith Reservoir","26","1981","","No","Yes","No","56"
"27064","Went","Walden Stubbs","84","1979","","No","Yes","Yes","21"
"27065","Holme","Huddersfield Queens Mill","97","1979","","Yes","Yes","Yes","25"
"27066","Blackburn Brook","Ashlowes","43","1984","2007","No","Yes","No","29"
"27067","Sheaf","Highfield Road","49","1984","","No","Yes","No","35"
"27068","Ryburn","Ripponden","33","1984","","No","Yes","No","51"
"27069","Wiske","Kirby Wiske","216","1984","","No","Yes","Yes","38"
"27071","Swale","Crakehill","1363","1955","","Yes","Yes","Yes","40"
"27072","Worth","Keighley","72","1980","","No","Yes","No","44"
"27073","Brompton Beck","Snainton Ings","13","1984","","Yes","Yes","No","18"
"27074","Spen Beck","Northorpe","46","1982","","No","Yes","No","32"
"27075","Bedale Beck","Leeming","160","1983","","No","Yes","Yes","39"
"27076","Bielby Beck","Thornton Lock","103","1983","","No","Yes","Yes","23"
"27077","Bradford Beck","Shipley","58","1983","","No","Yes","No","25"
"27079","Calder","Methley","930","1986","","Yes","Yes","No","30"
"27080","Aire","Oulton Lemonroyd","865","1985","","Yes","Yes","No","38"
"27081","Oulton Beck","Oulton Farrer Lane","25","1985","","Yes","Yes","Yes","24"
"27082","Cundall Beck","Bat Bridge","24","1986","","No","Yes","Yes","32"
"27083","Foss","Huntington","118","1987","","Yes","Yes","Yes","34"
"27084","Eastburn Beck","Crosshills","43","1988","","Yes","Yes","No","47"
"27085","Cod Beck","Dalton Bridge","209","1989","","No","Yes","Yes","37"
"27086","Skell","Ripon Alma Weir","120","1984","","Yes","Yes","No","40"
"27087","Derwent","Low Marishes","458","1989","","Yes","Yes","Yes","26"
"27088","Calder","Mytholmroyd","172","1989","","Yes","Yes","No","47"
"27089","Wharfe","Tadcaster","818","1991","","Yes","Yes","Yes","41"
"27090","Swale","Catterick Bridge","499","1992","","Yes","Yes","Yes","46"
"27091","Crimple","Blackstones","77","1991","","No","Yes","No","30"
"27092","Esk","Briggswath","325","1992","","Yes","Yes","No","49"
"27093","Riccal","Nunnington","40","2005","","No","Yes","No","34"
"27094","Wiske","Romanby Viewly Bridge","158","2007","","Yes","Yes","No","39"
"27095","Pickering Beck","Pickering","66","2000","","Yes","Yes","No","20"
"27096","Wharfe","Netherside Hall","215","2003","","Yes","Yes","No","46"
"27097","Aire","Bingley","465","2000","","Yes","Yes","No","42"
"27098","Calder","Dewsbury","697","1996","","Yes","Yes","No","31"
"27099","Derwent","Malton A64 Road Bridge","1360","2001","","Yes","Yes","No","28"
"28001","Derwent","Yorkshire Bridge","126","1936","","No","Yes","No","48"
"28002","Blithe","Hamstall Ridware","163","1937","","Yes","Yes","No","38"
"28003","Tame","Water Orton","408","1955","","Yes","Yes","No","34"
"28004","Tame","Lea Marston","795","1956","1982","Yes","No","No","36"
"28005","Tame","Elford","1475","1955","1984","Yes","Yes","No","36"
"28006","Trent","Great Haywood","325","1955","1964","No","Yes","No","35"
"28007","Trent","Shardlow","4400","1955","","No","Yes","No","34"
"28008","Dove","Rocester Weir","399","1953","","Yes","Yes","No","25"
"28009","Trent","Colwick","7486","1958","","Yes","Yes","No","34"
"28010","Derwent","Longbridge Weir","1054","1935","1986","Yes","No","No","26"
"28011","Derwent","Matlock Bath","690","1958","2004","Yes","Yes","No","26"
"28012","Trent","Yoxall","1229","1959","","Yes","Yes","Yes","34"
"28014","Sow","Milford","591","1960","2011","No","Yes","No","34"
"28015","Idle","Mattersey","529","1961","","Yes","Yes","Yes","19"
"28016","Ryton","Serlby Park","231","1965","1978","No","Yes","No","18"
"28017","Devon","Cotham","284","1966","1978","Yes","Yes","No","44"
"28018","Dove","Marston on Dove","883","1961","","Yes","Yes","Yes","30"
"28019","Trent","Drakelow Park","3072","1966","","Yes","Yes","No","35"
"28020","Churnet","Rocester","236","1954","1982","No","Yes","No","33"
"28021","Derwent","Draycott","1175","1965","1977","No","Yes","No","27"
"28022","Trent","North Muskham","8231","1967","","Yes","Yes","Yes","35"
"28023","Wye","Ashford","154","1965","","Yes","Yes","No","14"
"28024","Wreake","Syston Mill","414","1967","","Yes","Yes","No","42"
"28025","Sence","Ratcliffe Culey","169","1964","1984","No","Yes","No","40"
"28026","Anker","Polesworth","368","1966","","Yes","Yes","No","39"
"28027","Erewash","Sandiacre","182","1965","","Yes","Yes","No","35"
"28028","Soar","Wanlip","480","1970","1981","No","Yes","No","41"
"28029","Kingston Brook","Kingston Hall","57","1966","1984","No","Yes","No","44"
"28030","Black Brook","Onebarrow","8","1967","1984","No","Yes","No","43"
"28031","Manifold","Ilam","149","1968","","Yes","Yes","No","33"
"28032","Meden","Church Warsop","63","1965","","Yes","Yes","No","14"
"28033","Dove","Hollinsclough","8","1965","","Yes","Yes","No","43"
"28035","Leen","Triumph Road Nottingham","111","1968","","No","Yes","No","20"
"28036","Poulter","Twyford Bridge","128","1969","","No","Yes","No","13"
"28037","Derwent","Mytham Bridge","203","1968","1996","No","Yes","No","43"
"28038","Manifold","Hulme End","46","1969","1982","Yes","Yes","No","38"
"28039","Rea","Calthorpe Park","74","1967","","Yes","Yes","No","35"
"28040","Trent","Stoke-On-Trent","53","1968","","Yes","Yes","No","34"
"28041","Hamps","Waterhouses","35","1968","","Yes","Yes","No","47"
"28043","Derwent","Chatsworth","335","1968","","Yes","Yes","No","37"
"28044","Poulter","Cuckney","32","1969","","No","Yes","Yes","10"
"28045","Meden/Maun","Bothamsall / Haughton","263","1965","1984","Yes","Yes","No","16"
