"Station number","River","Location","Minimum altitude","10 percentile altitude","50 percentile altitude","90 percentile altitude","Maximum altitude"
"39049","Silk Stream","Colindeep Lane","39","51","73","120","150"
"39051","Sor Brook","Adderbury","86","110","150","190","220"
"39052","The Cut","Binfield","44","60","72","92","130"
"39053","Mole","Horley","52","60","81","130","170"
"39054","Mole","Gatwick Airport","59","66","84","110","150"
"39055","Yeading Brook West","North Hillingdon","34","39","51","64","110"
"39056","Ravensbourne","Catford Hill","16","38","87","190","270"
"39057","Crane","Cranford Park","22","32","39","58","120"
"39058","Pool River","Winsford Road","18","31","53","91","150"
"39061","Letcombe Brook","Letcombe Bassett","110","130","180","230","240"
"39065","Ewelme Brook","Ewelme","77","100","140","210","230"
"39068","Mole","Castle Mill","39","56","77","120","240"
"39069","Mole","Kinnersley Manor","49","57","74","120","180"
"39071","Thames","Ewen","94","110","150","180","220"
"39072","Thames","Royal Windsor Park","18","60","100","190","330"
"39073","Churn","Cirencester","110","160","210","270","300"
"39074","Ampney Brook","Sheepen Bridge","79","91","130","190","250"
"39075","Marston Meysey Brook","Whetstone Bridge","77","84","100","130","150"
"39076","Windrush","Worsham","90","130","200","260","320"
"39077","Og","Marlborough Poulton Fm","120","150","180","240","280"
"39078","Wey (North)","Farnham","65","110","160","200","250"
"39079","Wey","Weybridge","9.8","40","91","180","290"
"39081","Ock","Abingdon","50","61","80","120","260"
"39084","Brent","Brent Cross","41","61","85","120","140"
"39085","Wandle","Wandle Park","12","36","140","190","270"
"39086","Gatwick Stream","Gatwick Link","56","65","100","140","170"
"39087","Ray","Water Eaton","78","84","100","140","210"
"39088","Chess","Rickmansworth","48","98","160","200","270"
"39089","Gade","Bury Mill","86","120","160","200","240"
"39090","Cole","Inglesham","72","86","100","160","280"
"39091","Misbourne","Quarrendon Mill","82","120","160","210","250"
"39092","Dollis Brook","Hendon Lane Bridge","45","64","88","120","140"
"39093","Brent","Monks Park","27","44","68","110","150"
"39094","Crane","Marsh Farm","8.5","22","33","53","120"
"39095","Quaggy","Manor House Gardens","14","29","60","95","130"
"39096","Wealdstone Brook","Wembley","31","40","52","71","130"
"39097","Thames","Buscot","70","82","120","210","330"
"39098","Pinn","Uxbridge","30","40","59","88","140"
"39099","Ampney Brook","Ampney St Peter","92","120","160","210","250"
"39100","Swill Brook","Oaksey","89","90","110","130","150"
"39101","Aldbourne","Ramsbury","110","140","190","230","280"
"39102","Misbourne","Denham Lodge","34","79","150","200","250"
"39103","Kennet","Newbury","73","120","170","210","290"
"39104","Mole","Esher","9.3","41","74","130","260"
"39105","Thame","Wheatley","55","69","88","140","270"
"39106","Mole","Leatherhead","30","55","80","140","260"
"39107","Hogsmill","Ewell","27","43","100","160","180"
