"Station number","River","Location","Catchment area","Year opened","Year closed","Peak flow data","Daily data","Live data","Factors affecting runoff"
"42012","Anton","Fullerton","185","1975","","Yes","Yes","No","N"
"42014","Blackwater","Ower","105","1976","","Yes","Yes","Yes","N"
"42015","Dever","Weston Colley","53","1976","2006","No","Yes","No","RG"
"42016","Itchen","Easton","237","1975","","No","Yes","No","RPG"
"42017","Hermitage Stream","Havant","17","1976","","Yes","Yes","No","N"
"42018","Monks Brook","Stoneham Lane","43","1977","","No","Yes","No","N"
"42019","Tanners Brook","Millbrook","16","1977","2015","No","Yes","No","N"
"42020","Tadburn Lake","Romsey","19","1977","","No","Yes","No","N"
"42023","Itchen","Riverside Park","415","1981","","No","Yes","Yes","RPE"
"42024","Test","Chilbolton Total","453","1988","","No","Yes","Yes","N"
"42025","Lavant Stream","Leigh Park","55","1981","2003","No","Yes","No","GI"
"42026","Wallop Brook","Bossington","61","1993","","No","Yes","No",""
"42027","Dever","Bransbury","122","1995","","No","Yes","No",""
"43001","Avon","Ringwood","1650","1960","1968","No","Yes","No","P"
"43003","Avon","East Mills Total","1478","1965","","Yes","Yes","Yes","PN"
"43004","Bourne","Laverstock","164","1964","2017","Yes","Yes","No","N"
"43005","Avon","Amesbury","324","1965","","Yes","Yes","Yes","G"
"43006","Nadder","Wilton","221","1966","","Yes","Yes","No","N"
"43007","Stour","Throop","1073","1973","","Yes","Yes","Yes","PGE"
"43008","Wylye","South Newton","445","1966","","Yes","Yes","Yes","P"
"43009","Stour","Hammoon","523","1968","","Yes","Yes","Yes","PG"
"43010","Allen","Loverley Farm","94","1970","","Yes","Yes","Yes","PGE"
"43011","Ebble","Bodenham","109","1970","1976","No","Yes","No","N"
"43012","Wylye","Norton Bavant","112","1969","","Yes","Yes","No","PGE"
"43013","Mude","Somerford","12","1966","","No","Yes","No",""
"43014","East Avon","Upavon","86","1970","","Yes","Yes","No","N"
"43017","West Avon","Upavon","85","1970","","Yes","Yes","No","G"
"43018","Allen","Walford Mill","177","1974","","Yes","Yes","Yes","PG"
"43019","Shreen Water","Colesbrook","29","1973","","Yes","Yes","No","G"
"43021","Avon","Knapp Mill","1706","1974","","No","Yes","Yes","P"
