"Station_1";"Station_2";"Media";"Max";"Min";"lag0";"lag1";"lag2";"lag3";"lag4";"lag5";"lag5_10";"lag10"
11001;15006;24;297;1;0;1;0;0;0;0;14;0
11001;15008;42;304;0;2;2;1;0;0;0;10;0
11001;17005;65,5;311;2;0;0;2;0;0;0;12;0
11001;20002;84;303;1;0;1;0;0;0;1;13;0
11001;201005;160,5;297;7;0;0;0;0;0;0;14;0
11001;203010;77;315;21;0;0;0;0;0;0;15;0
11001;203012;105;297;7;0;0;0;0;0;0;15;0
11001;203017;46;297;0;1;3;0;0;0;0;12;0
11001;203018;41;274;0;1;0;0;0;0;1;15;0
11001;203019;96;296;1;0;1;0;0;0;0;14;0
11001;203021;77;275;0;2;0;1;0;0;0;12;0
11001;203024;77,5;303;0;1;0;0;0;0;0;15;0
11001;203025;60;324;0;1;0;0;0;0;0;14;0
11001;203026;41;274;0;1;2;1;0;0;0;11;0
11001;204001;53,5;280;0;1;2;1;0;0;0;10;0
11001;205005;37;319;1;0;3;1;0;0;0;11;0
11001;206001;42;297;1;0;2;0;0;0;0;15;0
11001;206002;41;297;0;3;0;0;0;0;0;12;0
11001;21009;54;322;1;0;2;1;0;0;0;11;0
11001;21012;90;322;2;0;0;1;0;0;0;15;0
11001;21016;18;282;1;0;4;0;0;1;0;10;0
11001;21017;50;311;3;0;0;0;1;0;0;13;0
11001;21019;52;311;2;0;0;1;0;0;0;12;0
11001;21021;195;322;1;0;1;1;0;0;0;13;0
11001;22001;117;282;1;0;4;0;0;0;0;11;0
11001;22006;166;331;13;0;0;0;0;0;0;16;0
11001;22007;178;320;1;0;2;0;0;0;0;13;0
11001;23001;243;320;4;0;0;0;0;1;0;14;0
11001;23006;195;320;1;0;1;0;0;1;0;13;0
11001;24003;56;320;1;0;1;1;0;0;0;13;0
11001;24004;116;319;1;0;2;1;0;0;0;12;0
11001;24005;93;319;1;0;3;0;0;0;0;11;0
11001;25001;199;320;2;0;0;1;0;0;0;15;0
11001;25004;195;319;1;0;1;0;0;0;0;14;0
11001;25005;192,5;344;0;1;0;0;0;0;0;13;0
11001;25006;92;288;7;0;0;0;0;0;0;13;0
11001;25009;116;283;1;0;1;0;0;0;0;13;0
11001;25018;195;320;2;0;0;1;0;0;0;14;0
11001;25019;133,5;344;1;0;1;1;0;0;0;12;0
11001;26003;230,5;315;4;0;0;0;0;1;0;15;0
11001;27002;239;340;7;0;0;0;0;0;0;15;0
11001;27006;125;296;15;0;0;0;0;0;0;17;0
11001;27007;209;336;1;0;1;0;0;0;0;14;0
11001;27009;85;318;0;2;0;0;0;0;0;13;0
11001;27021;102;289;1;0;1;1;0;0;0;15;0
11001;27023;66;290;1;0;3;0;0;0;0;13;0
11001;27025;145;315;1;0;1;1;0;0;0;15;0
11001;27026;169;325;2;0;0;1;0;0;0;17;0
11001;27030;87;289;0;1;0;1;0;0;0;14;0
11001;27031;74,5;301;1;0;1;0;0;0;0;13;0
11001;27032;228;297;18;0;0;0;0;0;0;15;0
11001;27034;239;317;7;0;0;0;0;0;0;15;0
11001;27035;113;340;1;0;1;0;0;0;0;14;0
11001;27038;190;320;40;0;0;0;0;0;0;15;0
11001;27040;152,5;315;1;0;1;1;0;0;0;14;0
11001;27051;240;319;1;0;1;0;0;0;0;12;0
11001;28003;99;315;19;0;0;0;0;0;0;14;0
11001;28006;68,5;314;0;3;0;1;0;0;0;8;0
11001;28008;250;326;1;0;1;1;0;0;0;13;0
11001;28009;266,5;331;0;2;0;0;0;0;0;12;0
11001;28012;166,5;314;0;1;0;0;0;0;0;13;0
11001;28019;71;314;0;1;1;1;0;0;0;11;0
11001;28022;262;331;0;1;1;0;0;0;0;13;0
11001;28031;159;325;1;0;2;0;0;0;0;13;0
11001;28040;90,5;329;19;0;0;0;0;0;0;14;0
11001;28046;262;325;2;0;0;1;0;0;0;14;0
11001;28047;113;291;1;0;1;1;0;0;0;13;0
11001;28048;176;315;1;0;1;0;0;1;0;13;0
11001;28049;202;314;1;0;1;1;0;0;0;14;0
11001;28052;90,5;313;1;0;1;0;0;0;0;15;0
11001;29001;238,5;316;4;0;0;0;0;2;0;14;0
11001;29003;160,5;315;4;0;0;0;0;1;0;15;0
11001;30001;221;329;1;0;1;0;0;0;0;16;0
11001;30003;231,5;315;1;0;1;0;0;1;0;14;0
11001;30005;159;289;1;0;1;0;0;1;0;15;0
11001;31002;244;315;1;0;1;0;1;0;0;15;0
11001;31004;218;314;0;1;0;1;0;0;0;14;0
11001;31005;187,5;314;0;1;0;0;1;0;0;14;0
11001;31010;218,5;307;1;0;1;0;0;1;0;14;0
11001;31023;135;315;2;0;0;1;1;0;0;12;0
11001;32002;105;289;1;0;1;0;0;1;0;14;0
11001;32003;186;344;23;0;0;0;0;0;0;16;0
11001;32004;116;290;1;0;1;0;1;0;0;14;0
11001;32006;102;313;1;0;1;0;0;1;0;11;0
11001;32007;102;313;1;0;1;0;0;1;0;13;0
11001;32008;217;314;1;0;1;0;0;0;0;12;0
11001;32010;214;301;1;0;1;0;0;0;0;14;0
